epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,375,428,402
0,train,Liberal,464,514,427
0,train,Neutral,144,157,117
0,validation,Conservative,87,91,71
0,validation,Liberal,101,106,89
0,validation,Neutral,42,30,32
1,train,Conservative,425,414,366
1,train,Liberal,448,544,413
1,train,Neutral,136,121,161
1,validation,Conservative,87,91,71
1,validation,Liberal,97,121,78
1,validation,Neutral,40,24,40
2,train,Conservative,414,420,371
2,train,Liberal,433,571,401
2,train,Neutral,119,125,174
2,validation,Conservative,82,102,65
2,validation,Liberal,98,119,79
2,validation,Neutral,32,20,52
3,train,Conservative,423,408,374
3,train,Liberal,403,627,375
3,train,Neutral,115,106,197
3,validation,Conservative,83,93,73
3,validation,Liberal,83,130,83
3,validation,Neutral,27,23,54
4,train,Conservative,433,362,410
4,train,Liberal,380,644,381
4,train,Neutral,114,95,209
4,validation,Conservative,84,97,68
4,validation,Liberal,82,131,83
4,validation,Neutral,24,23,57
-1,test,Conservative,76,91,80
-1,test,Liberal,94,144,86
-1,test,Neutral,20,28,30
