epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,659,131,415
0,train,Liberal,791,151,463
0,train,Neutral,230,44,144
0,validation,Conservative,211,0,38
0,validation,Liberal,254,0,42
0,validation,Neutral,91,0,13
1,train,Conservative,582,95,528
1,train,Liberal,629,107,669
1,train,Neutral,166,36,216
1,validation,Conservative,126,2,121
1,validation,Liberal,144,4,148
1,validation,Neutral,41,2,61
2,train,Conservative,607,53,545
2,train,Liberal,507,75,823
2,train,Neutral,128,19,271
2,validation,Conservative,168,1,80
2,validation,Liberal,152,2,142
2,validation,Neutral,55,0,49
3,train,Conservative,584,78,543
3,train,Liberal,470,116,819
3,train,Neutral,130,37,251
3,validation,Conservative,170,15,64
3,validation,Liberal,165,6,125
3,validation,Neutral,49,2,53
4,train,Conservative,746,49,410
4,train,Liberal,590,64,751
4,train,Neutral,152,26,240
4,validation,Conservative,165,9,75
4,validation,Liberal,162,8,126
4,validation,Neutral,48,2,54
-1,test,Conservative,164,3,80
-1,test,Liberal,172,8,144
-1,test,Neutral,39,2,37
