epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,430,409,366
0,train,Liberal,470,483,452
0,train,Neutral,130,131,157
0,validation,Conservative,97,84,68
0,validation,Liberal,89,121,86
0,validation,Neutral,22,20,62
1,train,Conservative,419,404,382
1,train,Liberal,399,587,419
1,train,Neutral,121,84,213
1,validation,Conservative,82,82,85
1,validation,Liberal,72,135,89
1,validation,Neutral,17,20,67
2,train,Conservative,448,402,355
2,train,Liberal,347,709,349
2,train,Neutral,88,87,243
2,validation,Conservative,100,96,53
2,validation,Liberal,77,164,55
2,validation,Neutral,21,27,56
3,train,Conservative,515,519,171
3,train,Liberal,368,872,165
3,train,Neutral,102,124,192
3,validation,Conservative,82,135,32
3,validation,Liberal,65,198,33
3,validation,Neutral,25,36,43
4,train,Conservative,558,529,118
4,train,Liberal,330,961,114
4,train,Neutral,119,123,176
4,validation,Conservative,97,125,27
4,validation,Liberal,79,186,31
4,validation,Neutral,26,37,41
-1,test,Conservative,88,123,36
-1,test,Liberal,91,201,32
-1,test,Neutral,18,34,26
