epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,379,423,403
0,train,Liberal,364,618,423
0,train,Neutral,139,115,164
0,validation,Conservative,60,104,85
0,validation,Liberal,50,154,92
0,validation,Neutral,10,21,73
1,train,Conservative,378,425,402
1,train,Liberal,270,776,359
1,train,Neutral,69,71,278
1,validation,Conservative,73,104,72
1,validation,Liberal,57,161,78
1,validation,Neutral,14,26,64
2,train,Conservative,511,366,328
2,train,Liberal,210,1020,175
2,train,Neutral,50,56,312
2,validation,Conservative,87,123,39
2,validation,Liberal,62,186,48
2,validation,Neutral,18,32,54
3,train,Conservative,778,240,187
3,train,Liberal,94,1252,59
3,train,Neutral,61,30,327
3,validation,Conservative,104,110,35
3,validation,Liberal,86,164,46
3,validation,Neutral,21,32,51
4,train,Conservative,1023,81,101
4,train,Liberal,40,1332,33
4,train,Neutral,54,10,354
4,validation,Conservative,118,95,36
4,validation,Liberal,108,149,39
4,validation,Neutral,27,26,51
-1,test,Conservative,116,81,50
-1,test,Liberal,130,154,40
-1,test,Neutral,28,17,33
