epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,417,390,398
0,train,Liberal,417,504,484
0,train,Neutral,111,108,199
0,validation,Conservative,68,93,88
0,validation,Liberal,72,131,93
0,validation,Neutral,15,18,71
1,train,Conservative,443,357,405
1,train,Liberal,375,651,379
1,train,Neutral,61,76,281
1,validation,Conservative,78,116,55
1,validation,Liberal,68,152,76
1,validation,Neutral,16,24,64
2,train,Conservative,590,364,251
2,train,Liberal,303,873,229
2,train,Neutral,66,49,303
2,validation,Conservative,94,107,48
2,validation,Liberal,85,157,54
2,validation,Neutral,25,20,59
3,train,Conservative,859,241,105
3,train,Liberal,191,1138,76
3,train,Neutral,57,19,342
3,validation,Conservative,115,112,22
3,validation,Liberal,88,176,32
3,validation,Neutral,36,25,43
4,train,Conservative,1111,60,34
4,train,Liberal,61,1320,24
4,train,Neutral,24,10,384
4,validation,Conservative,116,112,21
4,validation,Liberal,97,179,20
4,validation,Neutral,42,28,34
-1,test,Conservative,118,100,29
-1,test,Liberal,100,196,28
-1,test,Neutral,30,23,25
