,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.421578947368421,0.5661842105263158,0.421578947368421
1,0,validation,0.4409722222222222,0.5807291666666666,0.4409722222222222
2,1,train,0.43828947368421056,0.5787171052631579,0.43828947368421056
3,1,validation,0.419973544973545,0.5649801587301587,0.419973544973545
4,2,train,0.4051315789473684,0.5538486842105264,0.4051315789473684
5,2,validation,0.33349867724867727,0.5001240079365079,0.33349867724867727
6,3,train,0.3519736842105263,0.5139802631578947,0.3519736842105263
7,3,validation,0.34788359788359785,0.5109126984126984,0.34788359788359785
8,4,train,0.3736842105263158,0.5302631578947369,0.3736842105263158
9,4,validation,0.38955026455026454,0.5421626984126984,0.38955026455026454
10,5,train,0.3905263157894737,0.5428947368421053,0.3905263157894737
11,5,validation,0.4350198412698412,0.5762648809523809,0.4350198412698412
12,6,train,0.45052631578947366,0.5878947368421052,0.45052631578947366
13,6,validation,0.4444444444444445,0.5833333333333334,0.4444444444444445
14,7,train,0.48197368421052633,0.6114802631578947,0.48197368421052633
15,7,validation,0.460978835978836,0.595734126984127,0.460978835978836
16,8,train,0.5251973684210526,0.6438980263157895,0.5251973684210526
17,8,validation,0.45882936507936506,0.5941220238095238,0.45882936507936506
18,9,train,0.5407236842105263,0.6555427631578947,0.5407236842105263
19,9,validation,0.44742063492063494,0.5855654761904762,0.44742063492063494
20,-1,test,0.4436177248677248,0.5827132936507936,0.4436177248677248
