epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,476,267,462
0,train,Liberal,546,343,516
0,train,Neutral,130,80,208
0,validation,Conservative,101,32,116
0,validation,Liberal,128,35,133
0,validation,Neutral,21,7,76
1,train,Conservative,734,285,186
1,train,Liberal,761,411,233
1,train,Neutral,167,75,176
1,validation,Conservative,133,72,44
1,validation,Liberal,120,129,47
1,validation,Neutral,33,18,53
2,train,Conservative,937,213,55
2,train,Liberal,728,572,105
2,train,Neutral,139,80,199
2,validation,Conservative,156,72,21
2,validation,Liberal,152,118,26
2,validation,Neutral,48,23,33
3,train,Conservative,960,206,39
3,train,Liberal,498,824,83
3,train,Neutral,81,93,244
3,validation,Conservative,147,80,22
3,validation,Liberal,131,131,34
3,validation,Neutral,33,30,41
4,train,Conservative,1017,171,17
4,train,Liberal,316,990,99
4,train,Neutral,46,102,270
4,validation,Conservative,137,91,21
4,validation,Liberal,120,161,15
4,validation,Neutral,29,41,34
-1,test,Conservative,130,82,35
-1,test,Liberal,134,167,23
-1,test,Neutral,32,22,24
