epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,431,346,428
0,train,Liberal,456,483,466
0,train,Neutral,99,90,229
0,validation,Conservative,88,123,38
0,validation,Liberal,72,175,49
0,validation,Neutral,26,26,52
1,train,Conservative,662,333,210
1,train,Liberal,455,755,195
1,train,Neutral,82,84,252
1,validation,Conservative,151,47,51
1,validation,Liberal,132,103,61
1,validation,Neutral,25,21,58
2,train,Conservative,919,213,73
2,train,Liberal,284,1049,72
2,train,Neutral,55,37,326
2,validation,Conservative,122,110,17
2,validation,Liberal,101,174,21
2,validation,Neutral,32,38,34
3,train,Conservative,1103,72,30
3,train,Liberal,89,1275,41
3,train,Neutral,26,24,368
3,validation,Conservative,125,103,21
3,validation,Liberal,88,187,21
3,validation,Neutral,32,40,32
4,train,Conservative,1161,34,10
4,train,Liberal,27,1351,27
4,train,Neutral,15,13,390
4,validation,Conservative,165,63,21
4,validation,Liberal,128,138,30
4,validation,Neutral,44,29,31
-1,test,Conservative,153,68,26
-1,test,Liberal,146,148,30
-1,test,Neutral,32,21,25
