epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,440,512,253
0,train,Liberal,457,613,335
0,train,Neutral,153,182,83
0,validation,Conservative,106,97,46
0,validation,Liberal,107,128,61
0,validation,Neutral,55,30,19
1,train,Conservative,437,359,409
1,train,Liberal,326,571,508
1,train,Neutral,166,109,143
1,validation,Conservative,79,94,76
1,validation,Liberal,74,142,80
1,validation,Neutral,28,31,45
2,train,Conservative,433,302,470
2,train,Liberal,226,636,543
2,train,Neutral,126,87,205
2,validation,Conservative,112,85,52
2,validation,Liberal,84,147,65
2,validation,Neutral,31,29,44
3,train,Conservative,548,215,442
3,train,Liberal,182,742,481
3,train,Neutral,125,69,224
3,validation,Conservative,113,77,59
3,validation,Liberal,93,150,53
3,validation,Neutral,35,26,43
4,train,Conservative,670,148,387
4,train,Liberal,108,907,390
4,train,Neutral,157,59,202
4,validation,Conservative,128,78,43
4,validation,Liberal,110,140,46
4,validation,Neutral,42,24,38
-1,test,Conservative,117,79,51
-1,test,Liberal,132,130,62
-1,test,Neutral,30,22,26
