epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,444,323,438
0,train,Liberal,487,422,496
0,train,Neutral,107,75,236
0,validation,Conservative,114,91,44
0,validation,Liberal,94,135,67
0,validation,Neutral,23,19,62
1,train,Conservative,586,370,249
1,train,Liberal,361,762,282
1,train,Neutral,76,82,260
1,validation,Conservative,97,119,33
1,validation,Liberal,75,186,35
1,validation,Neutral,20,34,50
2,train,Conservative,919,215,71
2,train,Liberal,181,1129,95
2,train,Neutral,41,65,312
2,validation,Conservative,141,83,25
2,validation,Liberal,122,137,37
2,validation,Neutral,36,30,38
3,train,Conservative,1115,53,37
3,train,Liberal,52,1287,66
3,train,Neutral,15,46,357
3,validation,Conservative,123,99,27
3,validation,Liberal,105,156,35
3,validation,Neutral,36,28,40
4,train,Conservative,1158,30,17
4,train,Liberal,23,1339,43
4,train,Neutral,5,23,390
4,validation,Conservative,137,90,22
4,validation,Liberal,121,153,22
4,validation,Neutral,37,38,29
-1,test,Conservative,144,74,29
-1,test,Liberal,137,166,21
-1,test,Neutral,32,27,19
