epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,424,372,409
0,train,Liberal,454,494,457
0,train,Neutral,137,121,160
0,validation,Conservative,94,78,77
0,validation,Liberal,79,127,90
0,validation,Neutral,18,21,65
1,train,Conservative,549,309,347
1,train,Liberal,375,669,361
1,train,Neutral,82,69,267
1,validation,Conservative,108,97,44
1,validation,Liberal,89,141,66
1,validation,Neutral,19,29,56
2,train,Conservative,738,242,225
2,train,Liberal,279,915,211
2,train,Neutral,60,50,308
2,validation,Conservative,113,110,26
2,validation,Liberal,93,168,35
2,validation,Neutral,30,31,43
3,train,Conservative,1046,97,62
3,train,Liberal,112,1209,84
3,train,Neutral,33,31,354
3,validation,Conservative,116,106,27
3,validation,Liberal,99,169,28
3,validation,Neutral,40,28,36
4,train,Conservative,1156,27,22
4,train,Liberal,32,1347,26
4,train,Neutral,7,17,394
4,validation,Conservative,137,90,22
4,validation,Liberal,118,145,33
4,validation,Neutral,42,25,37
-1,test,Conservative,136,80,31
-1,test,Liberal,138,159,27
-1,test,Neutral,34,22,22
