epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,100,565,540
0,train,Liberal,126,671,608
0,train,Neutral,30,167,221
0,validation,Conservative,20,157,72
0,validation,Liberal,13,214,69
0,validation,Neutral,5,35,64
1,train,Conservative,96,824,285
1,train,Liberal,122,1044,239
1,train,Neutral,25,204,189
1,validation,Conservative,4,163,82
1,validation,Liberal,2,204,90
1,validation,Neutral,0,41,63
2,train,Conservative,94,927,184
2,train,Liberal,97,1175,133
2,train,Neutral,21,207,190
2,validation,Conservative,16,199,34
2,validation,Liberal,13,249,34
2,validation,Neutral,5,52,47
3,train,Conservative,146,929,130
3,train,Liberal,94,1240,71
3,train,Neutral,21,205,192
3,validation,Conservative,38,181,30
3,validation,Liberal,34,224,38
3,validation,Neutral,14,50,40
4,train,Conservative,394,677,134
4,train,Liberal,254,1070,81
4,train,Neutral,59,149,210
4,validation,Conservative,92,123,34
4,validation,Liberal,64,178,54
4,validation,Neutral,23,24,57
-1,test,Conservative,82,112,53
-1,test,Liberal,73,189,62
-1,test,Neutral,15,29,34
