epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,405,577,223
0,train,Liberal,417,713,275
0,train,Neutral,113,220,85
0,validation,Conservative,71,82,96
0,validation,Liberal,65,121,110
0,validation,Neutral,22,22,60
1,train,Conservative,693,397,115
1,train,Liberal,764,526,115
1,train,Neutral,206,125,87
1,validation,Conservative,228,12,9
1,validation,Liberal,274,14,8
1,validation,Neutral,76,6,22
2,train,Conservative,818,304,83
2,train,Liberal,930,373,102
2,train,Neutral,208,93,117
2,validation,Conservative,152,67,30
2,validation,Liberal,143,114,39
2,validation,Neutral,34,31,39
3,train,Conservative,742,384,79
3,train,Liberal,600,700,105
3,train,Neutral,152,139,127
3,validation,Conservative,146,80,23
3,validation,Liberal,121,152,23
3,validation,Neutral,38,32,34
4,train,Conservative,836,344,25
4,train,Liberal,442,839,124
4,train,Neutral,111,148,159
4,validation,Conservative,138,88,23
4,validation,Liberal,115,145,36
4,validation,Neutral,40,34,30
-1,test,Conservative,147,80,20
-1,test,Liberal,123,165,36
-1,test,Neutral,24,28,26
