epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,427,387,391
0,train,Liberal,495,490,420
0,train,Neutral,120,116,182
0,validation,Conservative,103,78,68
0,validation,Liberal,88,123,85
0,validation,Neutral,20,15,69
1,train,Conservative,521,345,339
1,train,Liberal,385,638,382
1,train,Neutral,78,57,283
1,validation,Conservative,121,87,41
1,validation,Liberal,102,141,53
1,validation,Neutral,23,21,60
2,train,Conservative,746,305,154
2,train,Liberal,360,861,184
2,train,Neutral,61,64,293
2,validation,Conservative,128,86,35
2,validation,Liberal,126,129,41
2,validation,Neutral,28,26,50
3,train,Conservative,978,189,38
3,train,Liberal,204,1135,66
3,train,Neutral,32,40,346
3,validation,Conservative,108,118,23
3,validation,Liberal,87,186,23
3,validation,Neutral,37,31,36
4,train,Conservative,1149,47,9
4,train,Liberal,59,1315,31
4,train,Neutral,10,22,386
4,validation,Conservative,129,93,27
4,validation,Liberal,117,158,21
4,validation,Neutral,36,34,34
-1,test,Conservative,124,88,35
-1,test,Liberal,106,191,27
-1,test,Neutral,33,23,22
