epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,396,456,353
0,train,Liberal,495,524,386
0,train,Neutral,118,126,174
0,validation,Conservative,88,150,11
0,validation,Liberal,81,186,29
0,validation,Neutral,28,37,39
1,train,Conservative,611,462,132
1,train,Liberal,438,818,149
1,train,Neutral,113,96,209
1,validation,Conservative,121,110,18
1,validation,Liberal,91,176,29
1,validation,Neutral,33,33,38
2,train,Conservative,895,230,80
2,train,Liberal,249,1085,71
2,train,Neutral,65,74,279
2,validation,Conservative,104,112,33
2,validation,Liberal,86,172,38
2,validation,Neutral,28,34,42
3,train,Conservative,1085,70,50
3,train,Liberal,74,1280,51
3,train,Neutral,22,54,342
3,validation,Conservative,117,110,22
3,validation,Liberal,105,161,30
3,validation,Neutral,30,36,38
4,train,Conservative,1147,34,24
4,train,Liberal,33,1349,23
4,train,Neutral,20,29,369
4,validation,Conservative,124,95,30
4,validation,Liberal,102,161,33
4,validation,Neutral,33,29,42
-1,test,Conservative,122,93,32
-1,test,Liberal,117,169,38
-1,test,Neutral,32,20,26
