epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,446,438,321
0,train,Liberal,469,553,383
0,train,Neutral,111,91,216
0,validation,Conservative,96,93,60
0,validation,Liberal,68,156,72
0,validation,Neutral,21,22,61
1,train,Conservative,674,407,124
1,train,Liberal,441,832,132
1,train,Neutral,93,86,239
1,validation,Conservative,91,130,28
1,validation,Liberal,66,195,35
1,validation,Neutral,33,30,41
2,train,Conservative,950,192,63
2,train,Liberal,169,1158,78
2,train,Neutral,47,50,321
2,validation,Conservative,117,94,38
2,validation,Liberal,87,170,39
2,validation,Neutral,35,36,33
3,train,Conservative,1126,60,19
3,train,Liberal,46,1323,36
3,train,Neutral,19,21,378
3,validation,Conservative,125,96,28
3,validation,Liberal,105,164,27
3,validation,Neutral,38,30,36
4,train,Conservative,1168,26,11
4,train,Liberal,23,1363,19
4,train,Neutral,8,9,401
4,validation,Conservative,115,119,15
4,validation,Liberal,78,201,17
4,validation,Neutral,37,39,28
-1,test,Conservative,114,113,20
-1,test,Liberal,92,212,20
-1,test,Neutral,23,33,22
