epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,628,176,401
0,train,Liberal,741,221,443
0,train,Neutral,208,51,159
0,validation,Conservative,182,9,58
0,validation,Liberal,203,19,74
0,validation,Neutral,43,3,58
1,train,Conservative,840,241,124
1,train,Liberal,925,317,163
1,train,Neutral,211,96,111
1,validation,Conservative,128,86,35
1,validation,Liberal,162,88,46
1,validation,Neutral,34,18,52
2,train,Conservative,691,413,101
2,train,Liberal,797,475,133
2,train,Neutral,204,98,116
2,validation,Conservative,207,5,37
2,validation,Liberal,241,5,50
2,validation,Neutral,49,1,54
3,train,Conservative,415,694,96
3,train,Liberal,459,850,96
3,train,Neutral,95,184,139
3,validation,Conservative,5,201,43
3,validation,Liberal,3,232,61
3,validation,Neutral,5,40,59
4,train,Conservative,45,1080,80
4,train,Liberal,55,1261,89
4,train,Neutral,18,257,143
4,validation,Conservative,4,215,30
4,validation,Liberal,2,254,40
4,validation,Neutral,1,56,47
-1,test,Conservative,0,200,47
-1,test,Liberal,1,271,52
-1,test,Neutral,1,51,26
