epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,384,416,405
0,train,Liberal,442,554,409
0,train,Neutral,120,111,187
0,validation,Conservative,50,91,108
0,validation,Liberal,53,131,112
0,validation,Neutral,18,21,65
1,train,Conservative,474,391,340
1,train,Liberal,444,663,298
1,train,Neutral,115,68,235
1,validation,Conservative,89,100,60
1,validation,Liberal,79,155,62
1,validation,Neutral,15,23,66
2,train,Conservative,619,372,214
2,train,Liberal,521,724,160
2,train,Neutral,109,48,261
2,validation,Conservative,109,97,43
2,validation,Liberal,97,153,46
2,validation,Neutral,31,19,54
3,train,Conservative,794,317,94
3,train,Liberal,506,827,72
3,train,Neutral,95,33,290
3,validation,Conservative,100,109,40
3,validation,Liberal,88,167,41
3,validation,Neutral,33,27,44
4,train,Conservative,851,262,92
4,train,Liberal,323,1022,60
4,train,Neutral,68,38,312
4,validation,Conservative,122,99,28
4,validation,Liberal,103,154,39
4,validation,Neutral,32,29,43
-1,test,Conservative,119,85,43
-1,test,Liberal,112,175,37
-1,test,Neutral,30,17,31
