epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,399,434,372
0,train,Liberal,406,615,384
0,train,Neutral,103,91,224
0,validation,Conservative,77,130,42
0,validation,Liberal,49,187,60
0,validation,Neutral,16,32,56
1,train,Conservative,558,469,178
1,train,Liberal,322,980,103
1,train,Neutral,91,85,242
1,validation,Conservative,118,107,24
1,validation,Liberal,88,174,34
1,validation,Neutral,38,28,38
2,train,Conservative,931,207,67
2,train,Liberal,216,1165,24
2,train,Neutral,84,34,300
2,validation,Conservative,108,128,13
2,validation,Liberal,71,206,19
2,validation,Neutral,34,41,29
3,train,Conservative,1097,80,28
3,train,Liberal,64,1315,26
3,train,Neutral,27,17,374
3,validation,Conservative,148,80,21
3,validation,Liberal,129,145,22
3,validation,Neutral,43,26,35
4,train,Conservative,1155,40,10
4,train,Liberal,38,1353,14
4,train,Neutral,11,11,396
4,validation,Conservative,116,112,21
4,validation,Liberal,98,173,25
4,validation,Neutral,41,33,30
-1,test,Conservative,116,99,32
-1,test,Liberal,96,194,34
-1,test,Neutral,25,31,22
