epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,32,495,678
0,train,Liberal,54,546,805
0,train,Neutral,15,143,260
0,validation,Conservative,4,180,65
0,validation,Liberal,7,202,87
0,validation,Neutral,2,41,61
1,train,Conservative,11,432,762
1,train,Liberal,8,515,882
1,train,Neutral,8,88,322
1,validation,Conservative,9,185,55
1,validation,Liberal,13,218,65
1,validation,Neutral,1,39,64
2,train,Conservative,3,475,727
2,train,Liberal,3,593,809
2,train,Neutral,2,96,320
2,validation,Conservative,5,148,96
2,validation,Liberal,1,189,106
2,validation,Neutral,0,25,79
3,train,Conservative,282,339,584
3,train,Liberal,330,438,637
3,train,Neutral,83,34,301
3,validation,Conservative,249,0,0
3,validation,Liberal,296,0,0
3,validation,Neutral,104,0,0
4,train,Conservative,1205,0,0
4,train,Liberal,1405,0,0
4,train,Neutral,418,0,0
4,validation,Conservative,249,0,0
4,validation,Liberal,296,0,0
4,validation,Neutral,104,0,0
-1,test,Conservative,247,0,0
-1,test,Liberal,324,0,0
-1,test,Neutral,78,0,0
