epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,444,562,199
0,train,Liberal,481,707,217
0,train,Neutral,141,183,94
0,validation,Conservative,107,82,60
0,validation,Liberal,112,120,64
0,validation,Neutral,37,38,29
1,train,Conservative,419,445,341
1,train,Liberal,356,635,414
1,train,Neutral,124,117,177
1,validation,Conservative,75,87,87
1,validation,Liberal,77,125,94
1,validation,Neutral,22,19,63
2,train,Conservative,458,377,370
2,train,Liberal,296,644,465
2,train,Neutral,86,84,248
2,validation,Conservative,78,88,83
2,validation,Liberal,71,140,85
2,validation,Neutral,20,24,60
3,train,Conservative,510,344,351
3,train,Liberal,246,758,401
3,train,Neutral,91,88,239
3,validation,Conservative,96,89,64
3,validation,Liberal,79,144,73
3,validation,Neutral,23,25,56
4,train,Conservative,561,282,362
4,train,Liberal,217,839,349
4,train,Neutral,62,62,294
4,validation,Conservative,94,87,68
4,validation,Liberal,85,138,73
4,validation,Neutral,20,24,60
-1,test,Conservative,83,78,86
-1,test,Liberal,92,142,90
-1,test,Neutral,16,23,39
