epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,403,376,426
0,train,Liberal,430,450,525
0,train,Neutral,129,110,179
0,validation,Conservative,89,87,73
0,validation,Liberal,81,126,89
0,validation,Neutral,22,18,64
1,train,Conservative,430,381,394
1,train,Liberal,397,577,431
1,train,Neutral,92,84,242
1,validation,Conservative,77,114,58
1,validation,Liberal,55,167,74
1,validation,Neutral,19,22,63
2,train,Conservative,573,464,168
2,train,Liberal,392,855,158
2,train,Neutral,118,91,209
2,validation,Conservative,93,133,23
2,validation,Liberal,76,179,41
2,validation,Neutral,32,28,44
3,train,Conservative,812,303,90
3,train,Liberal,316,1023,66
3,train,Neutral,114,59,245
3,validation,Conservative,130,89,30
3,validation,Liberal,106,154,36
3,validation,Neutral,38,27,39
4,train,Conservative,1008,128,69
4,train,Liberal,154,1216,35
4,train,Neutral,71,34,313
4,validation,Conservative,116,109,24
4,validation,Liberal,104,153,39
4,validation,Neutral,33,30,41
-1,test,Conservative,114,95,38
-1,test,Liberal,109,178,37
-1,test,Neutral,25,25,28
