epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,369,542,294
0,train,Liberal,400,677,328
0,train,Neutral,111,205,102
0,validation,Conservative,72,102,75
0,validation,Liberal,73,161,62
0,validation,Neutral,26,50,28
1,train,Conservative,266,629,310
1,train,Liberal,361,757,287
1,train,Neutral,114,204,100
1,validation,Conservative,97,107,45
1,validation,Liberal,91,172,33
1,validation,Neutral,41,40,23
2,train,Conservative,434,527,244
2,train,Liberal,479,716,210
2,train,Neutral,131,189,98
2,validation,Conservative,112,93,44
2,validation,Liberal,101,152,43
2,validation,Neutral,46,23,35
3,train,Conservative,416,540,249
3,train,Liberal,412,767,226
3,train,Neutral,144,146,128
3,validation,Conservative,119,93,37
3,validation,Liberal,91,170,35
3,validation,Neutral,37,28,39
4,train,Conservative,449,527,229
4,train,Liberal,456,746,203
4,train,Neutral,141,145,132
4,validation,Conservative,94,98,57
4,validation,Liberal,82,166,48
4,validation,Neutral,26,27,51
-1,test,Conservative,88,88,71
-1,test,Liberal,98,163,63
-1,test,Neutral,24,24,30
