epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,392,392,421
0,train,Liberal,458,455,492
0,train,Neutral,143,133,142
0,validation,Conservative,94,82,73
0,validation,Liberal,101,89,106
0,validation,Neutral,39,32,33
1,train,Conservative,421,370,414
1,train,Liberal,474,453,478
1,train,Neutral,120,149,149
1,validation,Conservative,110,73,66
1,validation,Liberal,102,94,100
1,validation,Neutral,39,26,39
2,train,Conservative,454,341,410
2,train,Liberal,462,475,468
2,train,Neutral,111,116,191
2,validation,Conservative,102,69,78
2,validation,Liberal,104,98,94
2,validation,Neutral,35,28,41
3,train,Conservative,440,361,404
3,train,Liberal,451,503,451
3,train,Neutral,108,124,186
3,validation,Conservative,97,78,74
3,validation,Liberal,94,106,96
3,validation,Neutral,33,20,51
4,train,Conservative,486,318,401
4,train,Liberal,391,531,483
4,train,Neutral,92,96,230
4,validation,Conservative,89,81,79
4,validation,Liberal,96,104,96
4,validation,Neutral,32,21,51
-1,test,Conservative,99,59,89
-1,test,Liberal,109,120,95
-1,test,Neutral,20,27,31
