epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,592,411,202
0,train,Liberal,754,431,220
0,train,Neutral,217,126,75
0,validation,Conservative,249,0,0
0,validation,Liberal,296,0,0
0,validation,Neutral,104,0,0
1,train,Conservative,1049,73,83
1,train,Liberal,1171,121,113
1,train,Neutral,347,37,34
1,validation,Conservative,141,108,0
1,validation,Liberal,147,149,0
1,validation,Neutral,54,50,0
2,train,Conservative,1151,54,0
2,train,Liberal,1340,65,0
2,train,Neutral,399,19,0
2,validation,Conservative,249,0,0
2,validation,Liberal,296,0,0
2,validation,Neutral,104,0,0
3,train,Conservative,1205,0,0
3,train,Liberal,1405,0,0
3,train,Neutral,418,0,0
3,validation,Conservative,249,0,0
3,validation,Liberal,296,0,0
3,validation,Neutral,104,0,0
4,train,Conservative,1205,0,0
4,train,Liberal,1405,0,0
4,train,Neutral,418,0,0
4,validation,Conservative,249,0,0
4,validation,Liberal,296,0,0
4,validation,Neutral,104,0,0
-1,test,Conservative,247,0,0
-1,test,Liberal,324,0,0
-1,test,Neutral,78,0,0
