epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,328,486,391
0,train,Liberal,394,631,380
0,train,Neutral,115,153,150
0,validation,Conservative,14,179,56
0,validation,Liberal,14,211,71
0,validation,Neutral,5,36,63
1,train,Conservative,250,829,126
1,train,Liberal,233,1055,117
1,train,Neutral,87,221,110
1,validation,Conservative,7,207,35
1,validation,Liberal,22,238,36
1,validation,Neutral,14,39,51
2,train,Conservative,325,792,88
2,train,Liberal,324,985,96
2,train,Neutral,115,166,137
2,validation,Conservative,2,219,28
2,validation,Liberal,4,261,31
2,validation,Neutral,5,53,46
3,train,Conservative,367,751,87
3,train,Liberal,375,966,64
3,train,Neutral,113,126,179
3,validation,Conservative,35,183,31
3,validation,Liberal,46,217,33
3,validation,Neutral,13,42,49
4,train,Conservative,515,592,98
4,train,Liberal,563,784,58
4,train,Neutral,175,34,209
4,validation,Conservative,30,181,38
4,validation,Liberal,38,214,44
4,validation,Neutral,13,38,53
-1,test,Conservative,39,165,43
-1,test,Liberal,41,236,47
-1,test,Neutral,8,32,38
